期号,first1,first2,first3,first4,first5,last1,last2,一等奖注数,一等奖奖金(元),二等奖注数,二等奖奖金(元),销售额(元),奖池奖金（元）,开奖日期,1~2,2~3,3~4,4~5,last1~last2
19026,10,12,15,17,19,2,3,12,18000000.0,195,533154.0,276287254,7119844630.41,2019-03-09,2,3,2,2,1
19025,6,13,16,19,29,3,7,1,10000000.0,134,616640.0,254293562,7214723367.23,2019-03-06,7,3,3,10,4
19024,11,17,19,29,33,8,9,7,18000000.0,108,746983.0,253993953,7212374715.45,2019-03-04,6,2,10,4,1
19023,1,3,14,26,30,6,11,1,10000000.0,48,2239414.0,271045330,7266412330.52,2019-03-02,2,11,12,4,5
19022,1,4,14,15,21,1,5,4,18000000.0,92,1242604.0,250698873,7260411038.25,2019-02-27,3,10,1,6,4
19021,7,13,17,24,33,1,10,4,18000000.0,119,776500.0,246282617,7281471244.44,2019-02-25,6,4,7,9,9
19020,1,8,16,27,34,3,12,6,18000000.0,1223,100886.0,262801443,7305795077.03,2019-02-23,7,8,11,7,9
19019,4,11,19,25,32,1,2,4,18000000.0,155,602487.0,240747642,7344326745.47,2019-02-20,7,8,6,7,1
19018,3,18,19,26,34,6,12,3,16000000.0,99,200686.0,206286685,7368392285.46,2019-02-18,15,1,7,8,6
19017,1,5,7,22,25,3,4,5,16000000.0,126,178880.0,224354188,7345788306.22,2019-02-16,4,2,15,3,1
19016,3,5,13,16,28,2,6,4,16000000.0,44,456529.0,199463845,7335987177.13,2019-02-13,2,8,3,12,4
19015,2,5,10,13,30,4,6,1,10000000.0,66,286937.0,200905382,7318529721.59,2019-02-11,3,5,3,17,2
19014,12,14,20,28,31,9,11,3,10000000.0,161,136289.0,252453111,7281902287.45,2019-02-02,2,6,8,3,2
19013,8,10,15,17,18,1,8,6,7771123.0,107,150836.0,209355520,7261573924.16,2019-01-30,2,5,2,1,7
19012,5,9,17,18,19,7,10,6,11669081.0,204,62262.0,208049284,7270412609.81,2019-01-28,4,8,1,1,3
19011,4,12,13,16,17,4,9,2,10000000.0,86,229188.0,229215164,7282068516.69,2019-01-26,8,1,3,1,5
19010,3,7,24,25,27,2,12,2,10000000.0,59,399616.0,213767581,7255514505.17,2019-01-23,4,17,1,2,10
19009,3,9,15,18,26,6,12,0,0.0,156,129756.0,208724945,7221191570.4,2019-01-21,6,6,3,8,6
19008,3,8,17,20,24,6,11,19,10186300.0,94,244692.0,235369276,7175235779.36,2019-01-19,5,9,3,4,5
19007,3,12,16,29,32,1,5,0,0.0,94,236072.0,212856147,7231975347.18,2019-01-16,9,4,13,3,4
19006,14,17,19,25,30,4,8,4,14222728.0,113,118172.0,211569980,7179104849.41,2019-01-14,3,2,6,5,4
19005,21,26,27,29,34,5,6,3,16000000.0,205,91003.0,226883398,7179285216.01,2019-01-12,5,1,2,5,1
19004,15,16,17,31,32,3,9,13,10142732.0,201,77916.0,204580697,7161063055.99,2019-01-09,1,1,14,1,6
19003,4,8,18,20,32,10,12,0,0.0,65,333635.0,207380158,7201268804.59,2019-01-07,4,10,2,12,2
19002,2,7,14,22,31,1,7,5,16000000.0,192,116833.0,225241300,7151049695.27,2019-01-05,5,7,8,9,6
19001,6,18,23,26,28,3,12,3,10000000.0,73,318038.0,210010629,7142421311.27,2019-01-02,12,5,3,2,9
18154,14,22,23,26,30,3,5,2,16000000.0,61,325124.0,211659213,7118917925.11,2018-12-31,8,1,3,4,2
18153,3,6,7,8,21,1,8,3,16000000.0,102,207393.0,226088197,7088689110.58,2018-12-29,3,1,1,13,7
18152,2,4,5,12,28,8,11,0,0.0,75,264747.0,205613392,7064136608.18,2018-12-26,2,1,7,16,3
18151,4,8,18,29,30,3,7,3,16000000.0,126,135619.0,207291663,7018219322.87,2018-12-24,4,10,11,1,4
18150,5,12,13,31,34,10,12,1,10000000.0,64,355284.0,225791549,7002968220.47,2018-12-22,7,1,18,3,2
18149,1,7,10,11,20,3,6,9,12391179.0,107,189768.0,207515954,6956714763.71,2018-12-19,6,3,1,9,3
18148,2,6,24,33,34,2,3,7,13458350.0,172,119235.0,208136096,6967866677.36,2018-12-17,4,18,9,1,1
18147,1,11,26,33,35,2,10,0,0.0,50,485585.0,223971838,6972210324.58,2018-12-15,10,15,7,2,8
18146,3,8,9,13,33,1,2,0,0.0,82,269649.0,205362986,6915052805.36,2018-12-12,5,1,4,20,1
18145,9,18,29,31,33,6,11,4,16000000.0,82,248201.0,203937312,6863931453.0,2018-12-10,9,11,2,2,5
18144,6,17,18,24,31,7,11,11,11190257.0,231,79635.0,218318880,6852100778.34,2018-12-08,11,1,6,7,4
18143,4,7,20,22,33,1,2,0,0.0,46,498198.0,209812542,6875246343.44,2018-12-05,3,13,2,11,1
18142,19,24,28,29,34,10,11,5,8947164.0,79,238558.0,209733653,6821793738.0,2018-12-03,5,4,1,5,1
18141,3,7,23,26,33,4,9,7,8326917.0,126,184766.0,229878514,6821675414.27,2018-12-01,4,16,3,7,5
18140,1,6,8,12,15,3,4,4,10000000.0,54,378526.0,214669161,6827035600.62,2018-11-28,5,2,4,3,1
18139,5,11,16,28,35,6,9,6,13687617.0,77,233798.0,211260296,6818142501.45,2018-11-26,6,5,12,7,3
18138,1,23,24,28,33,4,5,1,10000000.0,63,384155.0,235550538,6820616434.92,2018-11-24,22,1,4,5,1
18137,7,10,22,23,33,8,11,2,16000000.0,137,142043.0,213366740,6774793860.95,2018-11-21,3,12,1,10,3
18136,3,11,12,19,21,5,11,3,16000000.0,128,147264.0,211832625,6745147509.0,2018-11-19,8,1,7,2,6
18135,14,19,23,27,34,6,12,2,10000000.0,46,592584.0,234501139,6728041749.31,2018-11-17,5,4,4,7,6
18134,4,5,19,31,35,2,12,3,16000000.0,54,432518.0,216189491,6685696823.23,2018-11-14,1,14,12,4,10
18133,8,12,14,15,19,1,10,11,11729024.0,69,333552.0,217396050,6657631974.04,2018-11-12,4,2,1,4,9
18132,3,16,22,23,27,1,4,2,16000000.0,79,324785.0,239163144,6678376013.66,2018-11-10,13,6,1,4,3
18131,12,14,21,32,33,2,11,1,10000000.0,64,360523.0,216536327,6635339455.74,2018-11-07,2,7,11,1,9
18130,3,4,16,18,25,1,11,4,16000000.0,63,335643.0,217325653,6590885413.07,2018-11-05,1,12,2,7,10
18129,4,7,21,22,29,3,6,9,11480022.0,137,122560.0,235940348,6576364115.59,2018-11-03,3,14,1,7,3
18128,11,12,14,16,26,8,9,2,10000000.0,71,300960.0,220324605,6594664860.45,2018-10-31,1,2,2,10,1
18127,1,3,4,11,29,8,12,5,16000000.0,100,219436.0,217690667,6564347966.86,2018-10-29,2,1,7,18,4
18126,11,13,15,21,27,5,6,2,10000000.0,105,211321.0,237550025,6554917405.49,2018-10-27,2,2,6,6,1
18125,7,16,20,21,34,4,6,7,13888843.0,115,197177.0,219795983,6522197027.55,2018-10-24,9,4,1,13,2
18124,8,10,12,19,20,10,11,5,14747764.0,216,80512.0,216443708,6524154322.05,2018-10-22,2,2,7,1,1
18123,6,9,29,32,35,2,4,8,12986006.0,126,174833.0,234208723,6522610651.61,2018-10-20,3,20,3,3,2
18122,8,9,21,30,31,5,12,4,10000000.0,174,125588.0,214571833,6530054426.41,2018-10-17,1,12,9,1,7
18121,6,7,21,29,30,1,10,3,16000000.0,106,168595.0,207915429,6520734499.03,2018-10-15,1,14,8,1,9
18120,21,22,25,27,30,8,9,4,16000000.0,236,108720.0,234821953,6502829135.12,2018-10-13,1,3,2,3,1
18119,6,9,11,16,35,2,5,6,13417331.0,72,252248.0,212932980,6481977558.64,2018-10-10,3,2,5,19,3
18118,4,5,14,21,34,6,9,7,11782032.0,62,250280.0,211508812,6485845808.74,2018-10-08,1,9,7,13,3
18117,7,11,13,22,29,3,8,10,10794899.0,152,105611.0,217651581,6498990134.83,2018-10-06,4,2,9,7,5
18116,1,14,17,21,33,7,10,7,12222027.0,62,269489.0,182177791,6524536540.06,2018-10-03,13,3,4,12,3
18115,2,6,13,18,25,1,2,10,11601803.0,179,101660.0,188986085,6535370887.62,2018-10-01,4,7,5,7,1
18114,12,18,26,28,29,5,6,6,8262635.0,95,194582.0,224148934,6552450316.38,2018-09-29,6,8,2,1,1
18113,8,12,27,31,33,4,8,1,10000000.0,92,212785.0,204939053,6557535636.88,2018-09-26,4,15,4,2,4
18112,3,7,8,9,29,9,10,4,14911968.0,126,122496.0,193514083,6521875291.15,2018-09-24,4,1,1,20,1
18111,3,16,27,28,32,4,5,3,10000000.0,64,340478.0,215472949,6520081923.65,2018-09-22,13,11,1,4,1
18110,6,19,21,27,28,3,11,9,11551454.0,189,90046.0,199222858,6499010024.89,2018-09-19,13,2,6,1,8
18109,10,16,23,25,34,2,5,5,15339472.0,50,375313.0,193599346,6515974853.57,2018-09-17,6,7,2,9,3
18108,9,10,24,31,32,7,12,1,10000000.0,56,411817.0,214909384,6512454344.16,2018-09-15,1,14,7,1,5
18107,7,8,9,10,22,3,4,6,13632220.0,118,164787.0,207148979,6469261221.79,2018-09-12,1,1,1,12,1
